1045241431|"NIKKI ALL GOD'S CHILDREN HALLMARK ORN 1997"|$9.99
1045241545|"DEPT 56 DICKENS A PARTRIDGE IN A PEAR TREE"|$19.99
1045241826|"VENOMtheMADNESS#1-3.MINT.FREE US SHIP'G.BONUS"|$8.50
1045246078|"GREEN MOUNTAIN: ASTONISHING TALES #19 FVF"|$1.00
1045246222|"PAAP - "I Promise You An Ocean..." MIB NR!"|$17.99
1045251618|"Avon Volkwagon windjammer after shave"|$5.00
1045254741|"BROADWAY PROGRAM"|$50.00
1045258842|"Bone china little girl with kittens in barrel"|$9.99
1045259468|"First Christmas In New Home_Ornament "1999""|$16.00
1045260173|"PRECIOUS MOMENTS--JUST MARRIED MUSICAL BOX"|$20.00
1045261977|"Hummel figurine girl w/ Favorite pet MINT"|$59.99
1045264614|"Wooden Frame Rose Terra Cotta Tile Trivet"|$3.99
1045266160|"NICK FURY - AGENT OF SHIELD #38 - 41"|$5.00
1045266709|"Bowen Designs Marvel Juggernaut Mini-bust"|$32.95
1045268293|"Brass Coaster With Victorian Penny"|$4.00
1045269489|"DEPT 56 ALPINE VILLAGE THE TOY PEDDLER retire"|$19.99
1045272701|"Star trek:ALL ORNAMENTS 92-2000"|$275.00
1045274788|"7 1860s POWERS & WRIGHTMAN CHECKS- REVENUE"|$2.99
1045275048|"UNEXPECTED #133,1972,cgc,9.0,owtwp"|$18.50
1045278747|"DREAMSICLES SNUGGLE UP TO WINTER FREE SHIPPIN"|$16.40
1045279551|"Norman Rockwell 1979 Ornament"|$3.00
1045280711|"Weird Fantasy #1-22 Hardcover Volume"|$60.00
1045282425|"SILVER 1972 ROAD WINTER CHRISTMAS"|$37.00
1045284904|"SV Kids Love Hershey's!"|$24.75
1045288166|"Interesting *Vintage* Atomizer *OLD*"|$7.95
1045291850|"L@@K! Avon Gold Ring w Diamond Star"|$4.99
1045298651|"Hallmark 2001 Sulley,Mike, Boo Monster Inc."|$13.49
1045299503|"PRECIOUS MOMENTS-May Your Christmas Bang 2001"|$30.00
1045299669|"11 OLD DOILIES, ONE PRICE, NR"|$6.00
1045301128|"Dept 56 Noel Ornament Girl Caroler"|$4.99
1045301946|"Dept 56 T. Wells Fruit & Spice Shop"|$24.99
1045302047|"HALLMARK CAROUSEL HORSE PROMO SET 6 PC"|$25.00
1045302410|"Homco 4 perfect Christmas pieces"|$5.00
1045302453|"LIMOGES HIGH HEEL SHOE & PERFUME ATOMIZER"|$28.00
1045304791|"JOSEF Original Valentine Trinket Box MIB"|$8.99
1045307826|"~ TUPPERWARE ~ CHRISTMAS ~ COOKIE CUTTERS ~"|$1.49
1045307931|"3 Precious Moments Collectibles. #32"|$20.00
1045308478|"Patsy Walker #46 (Golden Age, Atlas, Good)"|$4.25
1045310980|"HALLMARK Peanuts "A SNOOPY CHRISTMAS" SET"|$10.51
1045314191|"Home Interior Homco Cat Figurine #1412 EC"|$5.99
